CMS Certification Number (CCN),Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
NATION,I_006_01_NATL_SIR,1.005,-,07/01/2024,06/30/2025,-
NATION,I_011_05_NATL_OBS_RATE,64.84,-,10/01/2024,09/30/2025,-
NATION,I_012_06_NATL_OBS_RATE,62.03,-,10/01/2024,09/30/2025,-
NATION,I_013_01_NATL_OBS_RATE,0.14,-,10/01/2024,09/30/2025,-
NATION,I_015_01_NATL_SIR,0.331,-,07/01/2024,06/30/2025,-
NATION,I_016_01_NATL_OBS_RATE,77.10,-,10/01/2024,03/31/2025,-
NATION,I_017_01_PPR_PD_NATL_OBS_RATE,9.21,-,10/01/2022,09/30/2024,-
NATION,I_017_01_PPR_PD_N_BETTER_NATL,19,-,10/01/2022,09/30/2024,-
NATION,I_017_01_PPR_PD_N_NO_DIFF_NATL,"1,101",-,10/01/2022,09/30/2024,-
NATION,I_017_01_PPR_PD_N_TOO_SMALL,19,-,10/01/2022,09/30/2024,-
NATION,I_017_01_PPR_PD_N_WORSE_NATL,55,-,10/01/2022,09/30/2024,-
NATION,I_018_01_PPR_WI_NATL_OBS_RATE,4.74,-,10/01/2022,09/30/2024,-
NATION,I_018_01_PPR_WI_N_BETTER_NATL,41,-,10/01/2022,09/30/2024,-
NATION,I_018_01_PPR_WI_N_NO_DIFF_NATL,"1,050",-,10/01/2022,09/30/2024,-
NATION,I_018_01_PPR_WI_N_TOO_SMALL,16,-,10/01/2022,09/30/2024,-
NATION,I_018_01_PPR_WI_N_WORSE_NATL,87,-,10/01/2022,09/30/2024,-
NATION,I_019_02_DTC_NATL_OBS_RATE,67.39,-,10/01/2022,09/30/2024,-
NATION,I_019_02_DTC_N_BETTER_NATL,244,-,10/01/2022,09/30/2024,-
NATION,I_019_02_DTC_N_NO_DIFF_NATL,733,-,10/01/2022,09/30/2024,-
NATION,I_019_02_DTC_N_TOO_SMALL,19,-,10/01/2022,09/30/2024,-
NATION,I_019_02_DTC_N_WORSE_NATL,198,-,10/01/2022,09/30/2024,-
NATION,I_020_01_NATL_MSPB_SCORE,1.00,-,10/01/2022,09/30/2024,-
NATION,I_021_01_NATL_OBS_RATE,98.37,-,10/01/2024,09/30/2025,-
NATION,I_022_01_NATL_OBS_RATE,0.87,-,10/01/2024,09/30/2025,-
NATION,I_024_01_NATL_OBS_RATE,97.33,-,10/01/2024,09/30/2025,-
NATION,I_025_02_NATL_OBS_RATE,98.57,-,10/01/2024,09/30/2025,-
NATION,I_026_01_NATL_OBS_RATE,66.02,-,10/01/2024,09/30/2025,-
